iter	Passed	Remaining
0	138	138467
1	139	69829
2	141	46859
3	141	35301
4	142	28352
5	142	23681
6	143	20349
7	143	17848
8	144	15906
9	144	14352
10	145	13080
11	145	12018
12	146	11119
13	146	10349
14	147	9681
15	147	9096
16	148	8581
17	148	8123
18	149	7713
19	149	7343
20	150	7010
21	151	6716
22	151	6448
23	152	6194
24	152	5960
25	153	5745
26	153	5546
27	154	5359
28	154	5186
29	155	5025
30	155	4874
31	156	4732
32	156	4598
33	157	4473
34	157	4354
35	158	4242
36	158	4136
37	159	4036
38	159	3941
39	160	3852
40	161	3766
41	161	3685
42	162	3607
43	162	3532
44	163	3461
45	163	3393
46	164	3327
47	164	3264
48	165	3205
49	165	3148
50	166	3093
51	166	3040
52	167	2990
53	167	2941
54	168	2893
55	169	2849
56	169	2806
57	170	2763
58	170	2723
59	171	2684
60	172	2648
61	172	2612
62	173	2577
63	173	2542
64	174	2509
65	175	2479
66	175	2447
67	176	2413
68	176	2383
69	177	2355
70	177	2327
71	178	2300
72	179	2274
73	179	2249
74	180	2224
75	180	2199
76	181	2175
77	182	2152
78	182	2130
79	183	2107
80	183	2086
81	184	2064
82	185	2044
83	185	2023
84	185	2002
85	186	1983
86	186	1962
87	187	1943
88	188	1925
89	188	1908
90	189	1891
91	189	1875
92	190	1858
93	191	1842
94	191	1827
95	192	1811
96	192	1796
97	193	1783
98	194	1769
99	194	1754
100	195	1740
101	195	1724
102	196	1710
103	196	1696
104	197	1683
105	198	1670
106	198	1657
107	199	1644
108	199	1632
109	200	1620
110	200	1608
111	201	1596
112	201	1585
113	202	1574
114	203	1564
115	203	1552
116	204	1541
117	204	1531
118	205	1520
119	205	1510
120	206	1500
121	207	1490
122	207	1478
123	207	1469
124	208	1459
125	209	1450
126	209	1441
127	210	1430
128	210	1422
129	211	1413
130	211	1405
131	212	1396
132	212	1388
133	213	1380
134	214	1372
135	214	1364
136	215	1356
137	215	1348
138	216	1340
139	217	1333
140	217	1326
141	218	1318
142	218	1311
143	219	1304
144	220	1297
145	220	1290
146	221	1283
147	221	1276
148	222	1269
149	222	1263
150	223	1257
151	224	1250
152	224	1244
153	225	1238
154	226	1232
155	226	1226
156	227	1220
157	227	1214
158	228	1208
159	229	1202
160	229	1197
161	230	1191
162	231	1186
163	231	1180
164	232	1175
165	233	1170
166	233	1167
167	234	1161
168	235	1156
169	235	1151
170	236	1146
171	237	1141
172	237	1136
173	238	1131
174	238	1126
175	239	1121
176	240	1117
177	240	1112
178	241	1107
179	242	1103
180	242	1096
181	243	1092
182	243	1087
183	244	1083
184	244	1079
185	245	1074
186	246	1070
187	246	1065
188	247	1061
189	247	1057
190	249	1055
191	249	1050
192	250	1046
193	250	1042
194	251	1038
195	252	1034
196	252	1030
197	253	1026
198	253	1022
199	254	1018
200	255	1014
201	255	1010
202	256	1006
203	257	1003
204	257	999
205	258	995
206	258	992
207	259	988
208	260	984
209	260	981
210	261	977
211	262	974
212	262	971
213	263	967
214	264	964
215	264	960
216	265	957
217	265	954
218	266	950
219	267	947
220	267	944
221	268	940
222	269	937
223	269	934
224	270	930
225	270	927
226	271	924
227	272	921
228	272	918
229	273	915
230	274	912
231	274	909
232	275	906
233	275	903
234	276	900
235	277	897
236	277	894
237	278	891
238	279	889
239	279	886
240	280	883
241	281	880
242	281	877
243	282	874
244	282	871
245	283	869
246	284	866
247	284	863
248	285	860
249	286	858
250	286	855
251	287	852
252	287	850
253	288	847
254	289	844
255	289	842
256	290	840
257	291	837
258	291	835
259	292	832
260	293	830
261	294	828
262	294	825
263	295	823
264	295	820
265	296	818
266	297	816
267	297	813
268	298	811
269	299	808
270	299	806
271	300	804
272	301	801
273	301	799
274	302	797
275	303	794
276	303	792
277	304	790
278	304	788
279	305	785
280	306	783
281	306	781
282	307	779
283	308	777
284	308	775
285	309	772
286	310	770
287	310	768
288	311	766
289	312	764
290	312	762
291	313	760
292	314	757
293	314	755
294	315	753
295	316	751
296	316	749
297	317	747
298	317	745
299	318	743
300	319	741
301	319	739
302	320	737
303	321	736
304	322	734
305	323	732
306	323	731
307	324	729
308	325	727
309	325	725
310	326	723
