iter	Passed	Remaining
0	138	138555
1	139	69500
2	139	46479
3	140	34957
4	140	28046
5	141	23435
6	142	20231
7	143	17768
8	143	15836
9	144	14287
10	144	13020
11	145	11966
12	145	11072
13	146	10307
14	146	9648
15	147	9082
16	148	8580
17	149	8129
18	149	7736
19	150	7381
20	151	7060
21	152	6768
22	152	6498
23	153	6251
24	154	6024
25	155	5816
26	156	5628
27	157	5453
28	157	5283
29	158	5124
30	159	4976
31	159	4836
32	160	4708
33	161	4591
34	162	4478
35	163	4373
36	164	4273
37	164	4176
38	165	4084
39	166	3996
40	167	3911
41	167	3831
42	168	3759
43	169	3689
44	170	3624
45	171	3561
46	172	3498
47	173	3437
48	174	3378
49	174	3323
50	175	3274
51	176	3224
52	177	3177
53	178	3130
54	179	3084
55	180	3039
56	181	2995
57	181	2953
58	182	2916
59	183	2878
60	184	2843
61	185	2813
62	186	2780
63	187	2744
64	188	2709
65	189	2675
66	189	2645
67	190	2615
68	191	2587
69	192	2558
70	193	2533
71	194	2507
72	195	2481
73	196	2457
74	197	2433
75	198	2410
76	199	2386
77	199	2362
78	200	2339
79	201	2318
80	202	2297
81	203	2276
82	204	2254
83	205	2244
84	206	2224
85	207	2204
86	208	2185
87	209	2167
88	209	2148
89	210	2130
90	211	2113
91	212	2096
92	213	2080
93	214	2063
94	215	2048
95	215	2033
96	216	2019
97	217	2002
98	218	1986
99	218	1970
100	219	1957
101	220	1943
102	221	1929
103	222	1916
104	223	1902
105	223	1888
106	224	1875
107	225	1861
108	226	1848
109	226	1834
110	227	1821
111	228	1809
112	228	1797
113	229	1787
114	231	1778
115	231	1767
116	232	1754
117	233	1743
118	233	1731
119	234	1721
120	235	1712
121	236	1700
122	237	1691
123	237	1681
124	238	1671
125	239	1662
126	240	1653
127	241	1643
128	242	1634
129	242	1624
130	243	1616
131	244	1607
132	245	1600
133	246	1592
134	247	1583
135	247	1574
136	248	1565
137	249	1556
138	250	1551
139	251	1544
140	252	1536
141	252	1527
142	253	1520
143	254	1513
144	255	1505
145	256	1498
146	257	1491
147	258	1486
148	259	1480
149	259	1473
150	260	1465
151	261	1457
152	262	1453
153	263	1447
154	264	1441
155	265	1434
156	265	1428
157	266	1421
158	267	1415
159	268	1408
160	268	1401
161	269	1395
162	270	1389
163	271	1384
164	272	1379
165	273	1374
166	274	1368
167	274	1361
168	275	1355
169	276	1349
170	277	1346
171	278	1340
172	279	1335
173	280	1330
174	280	1324
175	281	1319
176	282	1314
177	283	1309
178	284	1303
179	285	1298
180	285	1293
181	286	1288
182	287	1284
183	288	1279
184	289	1274
185	289	1268
186	290	1263
187	291	1259
188	292	1256
189	293	1252
190	294	1247
191	295	1243
192	296	1238
193	297	1234
194	298	1230
195	298	1226
196	299	1222
197	300	1218
198	301	1214
199	302	1210
200	303	1208
201	304	1203
202	305	1199
203	306	1194
204	307	1190
205	308	1187
206	308	1183
207	309	1179
208	310	1175
209	311	1171
210	312	1167
211	312	1163
212	313	1159
213	314	1155
214	315	1151
215	316	1147
216	316	1143
217	318	1140
218	318	1137
219	319	1133
220	320	1129
221	320	1124
222	321	1120
223	322	1118
224	323	1114
225	324	1110
226	325	1106
227	325	1103
228	326	1099
229	327	1095
230	328	1092
231	328	1088
232	329	1084
233	330	1080
234	330	1077
235	331	1074
236	332	1071
237	333	1068
238	334	1065
239	335	1061
240	335	1058
241	336	1055
242	338	1053
243	338	1050
244	339	1047
245	340	1043
246	341	1040
247	342	1037
248	342	1033
249	343	1030
250	344	1027
251	345	1024
252	345	1021
253	346	1018
254	347	1015
255	348	1012
256	349	1010
257	350	1006
258	350	1003
259	351	1000
260	352	998
261	353	996
262	354	994
263	355	991
264	356	988
265	357	985
266	357	982
267	358	979
268	359	976
269	359	972
270	360	970
271	361	967
272	362	965
273	363	963
274	364	960
275	365	958
276	365	955
277	366	952
278	367	950
279	368	947
280	369	944
281	369	941
282	370	939
283	371	936
284	372	933
285	372	931
286	373	928
287	374	925
288	375	923
289	376	920
290	377	919
291	378	917
292	379	914
293	379	912
294	380	909
295	381	906
296	382	904
297	383	902
298	384	900
299	384	898
300	385	895
301	386	893
302	387	891
303	388	888
304	388	886
305	389	884
306	390	882
307	391	879
308	392	878
309	393	876
310	394	873
311	395	871
312	395	868
313	396	866
314	398	865
315	399	863
316	400	861
317	400	859
318	401	857
319	402	855
320	403	853
321	404	850
322	404	848
323	405	846
324	406	844
325	407	842
326	408	840
327	409	838
328	410	836
329	410	833
330	411	831
331	412	830
332	413	828
333	414	826
334	415	824
335	416	822
336	416	820
337	417	818
338	418	816
339	419	814
340	420	812
341	421	810
342	422	808
343	423	807
344	424	805
345	424	803
346	425	800
347	426	798
348	427	798
349	428	796
350	429	794
351	430	792
352	431	790
353	431	788
354	432	786
355	433	784
356	434	782
357	435	780
358	436	778
359	437	777
360	438	775
361	438	773
362	450	791
363	451	789
364	452	787
365	453	785
366	453	782
367	454	780
368	455	778
369	456	776
370	456	774
371	457	772
372	458	771
373	459	769
374	460	767
375	460	764
376	461	762
377	462	760
378	463	759
379	464	757
380	464	755
381	465	753
382	466	751
383	467	750
384	468	748
385	469	746
386	470	744
387	470	742
388	471	740
389	472	738
390	472	736
391	474	735
392	474	733
393	475	731
394	476	730
395	477	728
396	478	726
397	479	724
398	479	722
399	480	720
400	481	719
401	482	717
402	483	715
403	484	714
404	485	712
405	485	710
406	486	708
407	487	706
408	488	705
409	489	703
410	489	701
411	490	700
412	491	698
413	492	697
414	493	695
415	493	693
416	494	691
417	495	689
418	496	688
419	497	686
420	498	685
421	499	683
422	500	682
423	500	680
424	501	678
425	502	676
426	502	674
427	504	673
428	504	671
429	505	670
430	506	668
431	507	666
432	507	665
433	508	663
434	509	661
435	510	660
436	511	658
437	512	657
438	512	655
439	513	654
440	515	652
441	515	651
442	516	649
443	517	647
444	518	646
445	519	645
446	520	643
447	521	642
448	522	640
449	522	639
450	523	637
451	524	636
452	525	634
453	526	633
454	527	631
455	528	630
456	529	628
457	529	626
458	530	625
459	531	623
460	532	622
461	532	620
462	534	619
463	534	618
464	535	616
465	536	614
466	537	613
467	538	611
468	539	610
469	539	608
470	540	607
471	541	605
472	542	604
473	543	602
474	543	601
475	544	599
476	545	598
477	546	596
478	546	594
479	547	593
480	548	592
481	549	590
482	550	589
483	551	588
484	552	586
485	554	586
486	555	585
487	556	583
488	556	581
489	557	580
490	558	578
491	558	577
492	559	575
493	560	573
494	560	572
495	561	570
496	562	569
497	563	567
498	564	566
499	565	565
500	566	564
501	567	562
502	567	560
503	568	559
504	569	557
505	569	556
506	570	554
507	571	553
508	572	552
509	573	550
510	573	549
511	574	547
512	575	546
513	575	544
514	576	543
515	577	541
516	577	539
517	579	539
518	580	537
519	581	536
520	581	535
521	582	533
522	583	532
523	584	530
524	585	529
525	585	527
526	586	526
